Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,USA,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,10.758285404960198,10.7571790359274,11.3406196496001,13.0792857463575,16.4449863225396,15.5163736331565,16.0488456356637,16.417894675155402,16.972834228965098,18.376194271455397,20.1098446894226,19.425907113159106,17.5368122809184,16.665593480310303,17.522432189514,16.603906126303002,16.8979771514343,17.973580984570198,19.0701007058615,19.4151283860195,19.8150505840543,19.786448124097397,19.950594502392303,20.0446187019752,21.0554591617453,22.4533816490568,22.687071990241197,23.428321075295703,22.8258909297017,23.273472659700197,25.043635224892807,22.8429578317059,22.154271777962197,22.47710056987839,24.3524067400051,25.5559940404642,26.9001486081178,27.955802072559,29.8867980581803,24.641563455513396,28.0579522804396,30.7892940559817,30.5681839448303,30.013007224403896,29.968850364377694,27.7367718305336,26.514000595343894,27.142320242019306,27.5439028356461,
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,5.195177876144951,5.35193372537237,5.80215931389794,6.3954353097007415,8.248864418088289,7.28409452407971,8.067953018343001,8.763604643231469,9.02577352686406,9.617125192305199,10.2833892192894,9.90813341390602,9.06707929238358,9.043328660845038,10.033329098157699,9.615833586657141,9.88872247567544,10.477661648351301,10.579577185865698,10.4763381889471,10.560318516540901,10.125543001778599,10.241679596744198,10.497438310292301,11.162311746182,11.8141577687958,11.940436425957598,12.3085665565188,12.3106298065852,12.9649624762195,14.3509112638306,13.1599745213201,13.022022958046,13.434030697806001,14.710543998278501,15.5440202721268,16.2403265120172,16.4634878988385,17.4007349318961,13.6926857960849,15.7428942052039,17.2587550423633,17.0392649736644,16.4684827889121,16.4330764311238,15.2950188510407,14.6436490913943,15.0474864512352,15.3252110810918,
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,5.56310752881526,5.40524531055501,5.53846033570217,6.6838504366567095,8.196121904451271,8.23227910907684,7.980892617320699,7.6542900319239005,7.947060702101001,8.7590690791502,9.82645547013324,9.51777369925308,8.46973298853486,7.6222648194652916,7.4891030913562,6.98807253964585,7.00925467575881,7.49591933621889,8.490523519995849,8.938790197072448,9.25473206751338,9.66090512231881,9.708914905648141,9.54718039168286,9.89314741556332,10.639223880261,10.7466355642836,11.119754518777,10.5152611231164,10.3085101834807,10.6927239610622,9.682983310385767,9.13224881991615,9.04306987207242,9.64186274172664,10.0119737683374,10.6598220961005,11.4923141737205,12.4860631262841,10.948877659428401,12.315058075235699,13.5305390136184,13.5289189711659,13.5445244354918,13.535773933254001,12.4417529794929,11.8703515039496,12.094833790784,12.2186917545542,
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.77073170731711,70.27073170731711,70.119512195122,69.91707317073171,70.1658536585366,70.2146341463415,70.2121951219512,70.5609756097561,69.9512195121951,70.5073170731708,70.8073170731707,71.1073170731707,71.1560975609756,71.35609756097558,71.95609756097559,72.60487804878049,72.85609756097558,73.25609756097559,73.35609756097558,73.8048780487805,73.609756097561,74.009756097561,74.3609756097561,74.4634146341463,74.5634146341464,74.5634146341464,74.6146341463415,74.7658536585366,74.7658536585366,75.0170731707317,75.2146341463415,75.3658536585366,75.6170731707317,75.41951219512201,75.619512195122,75.62195121951221,76.0268292682927,76.4292682926829,76.58048780487809,76.58292682926829,76.6365853658537,76.83658536585371,76.9365853658537,77.0365853658537,77.4878048780488,77.4878048780488,77.6878048780488,77.9878048780488,78.0390243902439,78.390243902439,78.5414634146342,78.64146341463409,78.7414634146342,78.7414634146342,78.84146341463409,78.69024390243901,78.5390243902439,78.5390243902439,,
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.654,3.62,3.4610000000000003,3.319,3.19,2.9130000000000003,2.721,2.5580000000000003,2.464,2.456,2.48,2.266,2.01,1.879,1.835,1.774,1.7380000000000002,1.79,1.76,1.808,1.8395,1.812,1.8275,1.7990000000000002,1.8065,1.844,1.8375,1.872,1.934,2.014,2.081,2.0625,2.046,2.0195,2.0015,1.978,1.976,1.971,1.999,2.0075,2.056,2.0305,2.0205,2.0475,2.0515,2.057,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8575,1.8625,1.8435,1.8205,1.7655,,
United States,USA,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,5265826111195.5,5431627105470.42,5712032894447.19,6031908960681.3,5957046428631.03,5949894967623.04,6270962082734.13,6546005001499.72,6906414231943.93,7110535242678.27,7047464233550.17,7233542949300.85,7118050918916.34,7459896825304.63,8006667087146.72,8341723715333.25,8623714860667.58,8905294766071.25,9277367750317.22,9613943825580.38,9779635299060.04,9779858067359.5,10119425567604.1,10404784894260.8,10824669819224.5,11108988401301.4,11530867017706.6,12061011044592.5,12638266972414.7,13222781585275.0,13737597275214.6,13899125663615.9,14147527414067.5,14534161771280.2,15070915017497.3,15566762152984.4,15997768655907.9,16297410441777.3,16185102325904.2,15872001435429.6,16248982425372.1,16472822582991.9,16853453092252.9,17193551889022.3,17633030564013.7,18219297584000.0,18542216382392.5,18961740896296.2,19529002920606.9,
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.618121192654741,4.48066935423358,2.908271948087529,4.34054896320299,5.07809761043293,5.27711385836413,1.38995128628369,3.7588193676318697,2.09736970647879,-1.40937952140182,1.99561083827386,4.1380849034194,4.642152687964058,-1.44512926777021,-1.18458928130345,4.39146280725922,3.5771527870299,4.42298236568715,2.03389197334039,-1.20930049875425,1.5363196774655,-2.73455689777417,3.63199312917162,6.31215461269001,3.25065615668603,2.5108916563569905,2.5389412496381603,3.23540133677642,2.69817477448851,0.741481518072391,-1.43419451514927,2.09661470539942,1.40675791175455,2.7609275425347,1.4687872674613798,2.57219576639159,3.19725295677171,3.2705240438442003,3.55719309222211,2.97520862601139,0.00364897860518454,0.802103852022327,1.98092583421372,2.84268064178576,2.56350240639679,1.867955513984,0.911865597890312,-1.07670008700785,-3.38743566041579,1.71674815989624,0.816231684014994,1.5021705826355298,1.13849725830684,1.70263424714736,2.12512281615798,0.835127873350956,1.56444443081496,2.29172949198735,
United States,USA,GDP (constant LCU),NY.GDP.MKTP.KN,3457188037625.69,3536703362491.07,3752442267603.03,3917549727377.56,4144767611565.47,4410032738705.65,4696684866721.53,4814101988389.57,5045178883832.25,5201579429231.05,5188363277400.0,5359234881600.0,5641071436000.0,5959550504400.0,5927336361000.0,5915157817900.0,6233874756600.0,6522139050100.0,6883159188600.0,7101090351900.0,7082858165300.0,7262601181300.0,7131665600000.0,7458575967500.0,7998324767200.0,8331827392100.0,8620329556000.0,8918556111500.0,9291088337100.0,9632318080900.0,9813979778100.0,9803355251400.0,10148672802600.0,10428049966100.0,10848179316700.0,11139375598200.0,11559608689600.0,12073689496400.0,12614760729600.0,13214370076500.0,13759791088900.0,13897160696600.0,14139206884300.0,14543759394100.0,15096260979200.0,15626624902700.0,16072760713800.0,16374313262900.0,16351949257700.0,15937140029500.0,16345731096000.0,16599226497500.0,16972633708700.0,17285283381500.0,17709113869100.0,18219297584000.0,18504833179600.0,18915087242800.0,19468792890719.4,
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.29999999999968,6.10000000000012,4.39999999999992,5.800000000000299,6.399999999999759,6.50000000000028,2.5000000000000298,4.7999999999995895,3.0999999999999903,-0.254079592763304,3.29336237777143,5.25889535776155,5.645719470374732,-0.540546529074902,-0.2054640121342,5.38813922657351,4.6241592068368895,5.53530269328533,3.16615027095321,-0.256751930992138,2.53771869780746,-1.80287445271176,4.5839273156610085,7.236619993573849,4.169655954302431,3.46265171279892,3.45957255534883,4.17704638444378,3.67265632851046,1.88596032309418,-0.108259105278663,3.52244249386644,2.75284432688012,4.0288390635428,2.68428713241977,3.77250131926519,4.44721634273408,4.481407554512071,4.75323598879717,4.127484013558529,0.9983407946565,1.7416952497298,2.86121076741024,3.79889112662393,3.51321379665302,2.85497229170015,1.8761714584669296,-0.136579805460741,-2.53675706585665,2.5637665587658103,1.55083550568156,2.24954585236992,1.84208107101102,2.45197303536034,2.8809104660521903,1.56721516997864,2.21701033031884,2.9273227282108505,
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.999779156588499,15.6812555160569,16.0139374979897,16.4827621458239,16.9681185789701,17.4517252487095,18.1210730107855,18.5983178821611,19.0893891562783,19.857945662309998,21.111252272594303,20.9802034758573,21.7486419846019,22.510582127233896,21.502930377734298,20.4022240696754,21.1576153736785,21.5324840060117,21.9730046948357,21.780436977627698,20.7864877412257,19.7667641742132,18.5904952301609,18.5715437097933,18.976750268207397,18.8823127427246,18.7207227161615,19.3503344229412,20.0104134086438,20.075769778663695,19.322751180780607,19.0561631861681,19.1394372782772,19.3470829142925,19.3608920479162,19.2765452647233,19.4960247370023,19.690363181579798,19.579236201033893,19.727169506164,20.1787505069199,19.636505067718694,19.613404076881398,19.5641045293305,19.6583711815214,19.5918852294317,19.0940665201349,19.217897835532,18.461763868080197,17.1577377931966,17.442861713392194,16.9769572829045,16.310471097693,16.3234767932125,16.502837239406,,,,,
